block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5
NN1_BEG_00-SS1_END_00-0,0,0,-100,0,-100,322,2100,322,2100,0,2000,0
NN1_BEG_01-SS1_END_01-0,0,0,-101,0,-101,327,2101,327,2101,0,2000,0
NN1_BEG_02-SS1_END_02-0,0,0,-102,0,-102,332,2102,332,2102,0,2000,0
NN1_BEG_03-SS1_END_03-0,0,0,-103,0,-103,337,2103,337,2103,0,2000,0
NN1_BEG_04-SS1_END_04-0,0,0,-104,0,-104,342,2104,342,2104,0,2000,0
NN1_BEG_05-SS1_END_05-0,0,0,-105,0,-105,347,2105,347,2105,0,2000,0
NN1_BEG_06-SS1_END_06-0,0,0,-106,0,-106,352,2106,352,2106,0,2000,0
NN1_BEG_07-SS1_END_07-0,0,0,-107,0,-107,357,2107,357,2107,0,2000,0
NN1_BEG_08-SS1_END_08-0,0,0,-108,0,-108,362,2108,362,2108,0,2000,0
NN1_BEG_09-SS1_END_09-0,0,0,-109,0,-109,367,2109,367,2109,0,2000,0
NN1_BEG_10-SS1_END_10-0,0,0,-110,0,-110,372,2110,372,2110,0,2000,0
NN1_BEG_11-SS1_END_11-0,0,0,-111,0,-111,377,2111,377,2111,0,2000,0
NN1_BEG_12-SS1_END_12-0,0,0,-112,0,-112,382,2112,382,2112,0,2000,0
NN1_BEG_13-SS1_END_13-0,0,0,-113,0,-113,387,2113,387,2113,0,2000,0
NN1_BEG_14-SS1_END_14-0,0,0,-114,0,-114,392,2114,392,2114,0,2000,0
NN1_BEG_15-SS1_END_15-0,0,0,-115,0,-115,397,2115,397,2115,0,2000,0
SS1_BEG_00-NN1_END_00-0,0,0,100,0,100,-322,-2100,-322,-2100,0,-2000,0
SS1_BEG_01-NN1_END_01-0,0,0,101,0,101,-327,-2101,-327,-2101,0,-2000,0
SS1_BEG_02-NN1_END_02-0,0,0,102,0,102,-332,-2102,-332,-2102,0,-2000,0
SS1_BEG_03-NN1_END_03-0,0,0,103,0,103,-337,-2103,-337,-2103,0,-2000,0
SS1_BEG_04-NN1_END_04-0,0,0,104,0,104,-342,-2104,-342,-2104,0,-2000,0
SS1_BEG_05-NN1_END_05-0,0,0,105,0,105,-347,-2105,-347,-2105,0,-2000,0
SS1_BEG_06-NN1_END_06-0,0,0,106,0,106,-352,-2106,-352,-2106,0,-2000,0
SS1_BEG_07-NN1_END_07-0,0,0,107,0,107,-357,-2107,-357,-2107,0,-2000,0
SS1_BEG_08-NN1_END_08-0,0,0,108,0,108,-362,-2108,-362,-2108,0,-2000,0
SS1_BEG_09-NN1_END_09-0,0,0,109,0,109,-367,-2109,-367,-2109,0,-2000,0
SS1_BEG_10-NN1_END_10-0,0,0,110,0,110,-372,-2110,-372,-2110,0,-2000,0
SS1_BEG_11-NN1_END_11-0,0,0,111,0,111,-377,-2111,-377,-2111,0,-2000,0
SS1_BEG_12-NN1_END_12-0,0,0,112,0,112,-382,-2112,-382,-2112,0,-2000,0
SS1_BEG_13-NN1_END_13-0,0,0,113,0,113,-387,-2113,-387,-2113,0,-2000,0
SS1_BEG_14-NN1_END_14-0,0,0,114,0,114,-392,-2114,-392,-2114,0,-2000,0
SS1_BEG_15-NN1_END_15-0,0,0,115,0,115,-397,-2115,-397,-2115,0,-2000,0
