block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11
NN4_BEG_00-SS4_END_00-0,0,0,-132,0,-132,458,2132,458,2132,-874,2140,-874,2140,-3842,2148,-3842,2148,-6810,2156,-6810,2156,-9000,2000,-9000
NN4_BEG_01-SS4_END_01-0,0,0,-133,0,-133,463,2133,463,2133,-866,2141,-866,2141,-3834,2149,-3834,2149,-6802,2157,-6802,2157,-9000,2000,-9000
NN4_BEG_02-SS4_END_02-0,0,0,-134,0,-134,468,2134,468,2134,-858,2142,-858,2142,-3826,2150,-3826,2150,-6794,2158,-6794,2158,-9000,2000,-9000
NN4_BEG_03-SS4_END_03-0,0,0,-135,0,-135,473,2135,473,2135,-850,2143,-850,2143,-3818,2151,-3818,2151,-6786,2159,-6786,2159,-9000,2000,-9000
NN4_BEG_04-SS4_END_04-0,0,0,-136,0,-136,478,2136,478,2136,-842,2144,-842,2144,-3810,2152,-3810,2152,-6778,2160,-6778,2160,-9000,2000,-9000
NN4_BEG_05-SS4_END_05-0,0,0,-137,0,-137,483,2137,483,2137,-834,2145,-834,2145,-3802,2153,-3802,2153,-6770,2161,-6770,2161,-9000,2000,-9000
NN4_BEG_06-SS4_END_06-0,0,0,-138,0,-138,488,2138,488,2138,-826,2146,-826,2146,-3794,2154,-3794,2154,-6762,2162,-6762,2162,-9000,2000,-9000
NN4_BEG_07-SS4_END_07-0,0,0,-139,0,-139,493,2139,493,2139,-818,2147,-818,2147,-3786,2155,-3786,2155,-6754,2163,-6754,2163,-9000,2000,-9000
NN4_BEG_00-SS4_END_00-1,0,0,-132,0,-132,2126,-140,2126,-140,3466,2140,3466,2140,2158,2148,2158,2148,-810,2156,-810,2156,-3000,2000,-3000
NN4_BEG_01-SS4_END_01-1,0,0,-133,0,-133,2126,-141,2126,-141,3471,2141,3471,2141,2166,2149,2166,2149,-802,2157,-802,2157,-3000,2000,-3000
NN4_BEG_02-SS4_END_02-1,0,0,-134,0,-134,2126,-142,2126,-142,3476,2142,3476,2142,2174,2150,2174,2150,-794,2158,-794,2158,-3000,2000,-3000
NN4_BEG_03-SS4_END_03-1,0,0,-135,0,-135,2126,-143,2126,-143,3481,2143,3481,2143,2182,2151,2182,2151,-786,2159,-786,2159,-3000,2000,-3000
NN4_BEG_04-SS4_END_04-1,0,0,-136,0,-136,2126,-144,2126,-144,3486,2144,3486,2144,2190,2152,2190,2152,-778,2160,-778,2160,-3000,2000,-3000
NN4_BEG_05-SS4_END_05-1,0,0,-137,0,-137,2126,-145,2126,-145,3491,2145,3491,2145,2198,2153,2198,2153,-770,2161,-770,2161,-3000,2000,-3000
NN4_BEG_06-SS4_END_06-1,0,0,-138,0,-138,2126,-146,2126,-146,3496,2146,3496,2146,2206,2154,2206,2154,-762,2162,-762,2162,-3000,2000,-3000
NN4_BEG_07-SS4_END_07-1,0,0,-139,0,-139,2126,-147,2126,-147,3501,2147,3501,2147,2214,2155,2214,2155,-754,2163,-754,2163,-3000,2000,-3000
NN4_BEG_00-SS4_END_00-2,0,0,-132,0,-132,2126,-140,2126,-140,5094,-148,5094,-148,6474,2148,6474,2148,5190,2156,5190,2156,3000,2000,3000
NN4_BEG_01-SS4_END_01-2,0,0,-133,0,-133,2126,-141,2126,-141,5094,-149,5094,-149,6479,2149,6479,2149,5198,2157,5198,2157,3000,2000,3000
NN4_BEG_02-SS4_END_02-2,0,0,-134,0,-134,2126,-142,2126,-142,5094,-150,5094,-150,6484,2150,6484,2150,5206,2158,5206,2158,3000,2000,3000
NN4_BEG_03-SS4_END_03-2,0,0,-135,0,-135,2126,-143,2126,-143,5094,-151,5094,-151,6489,2151,6489,2151,5214,2159,5214,2159,3000,2000,3000
NN4_BEG_04-SS4_END_04-2,0,0,-136,0,-136,2126,-144,2126,-144,5094,-152,5094,-152,6494,2152,6494,2152,5222,2160,5222,2160,3000,2000,3000
NN4_BEG_05-SS4_END_05-2,0,0,-137,0,-137,2126,-145,2126,-145,5094,-153,5094,-153,6499,2153,6499,2153,5230,2161,5230,2161,3000,2000,3000
NN4_BEG_06-SS4_END_06-2,0,0,-138,0,-138,2126,-146,2126,-146,5094,-154,5094,-154,6504,2154,6504,2154,5238,2162,5238,2162,3000,2000,3000
NN4_BEG_07-SS4_END_07-2,0,0,-139,0,-139,2126,-147,2126,-147,5094,-155,5094,-155,6509,2155,6509,2155,5246,2163,5246,2163,3000,2000,3000
NN4_BEG_00-SS4_END_00-3,0,0,-132,0,-132,2126,-140,2126,-140,5094,-148,5094,-148,8062,-156,8062,-156,9482,2156,9482,2156,9000,2000,9000
NN4_BEG_01-SS4_END_01-3,0,0,-133,0,-133,2126,-141,2126,-141,5094,-149,5094,-149,8062,-157,8062,-157,9487,2157,9487,2157,9000,2000,9000
NN4_BEG_02-SS4_END_02-3,0,0,-134,0,-134,2126,-142,2126,-142,5094,-150,5094,-150,8062,-158,8062,-158,9492,2158,9492,2158,9000,2000,9000
NN4_BEG_03-SS4_END_03-3,0,0,-135,0,-135,2126,-143,2126,-143,5094,-151,5094,-151,8062,-159,8062,-159,9497,2159,9497,2159,9000,2000,9000
NN4_BEG_04-SS4_END_04-3,0,0,-136,0,-136,2126,-144,2126,-144,5094,-152,5094,-152,8062,-160,8062,-160,9502,2160,9502,2160,9000,2000,9000
NN4_BEG_05-SS4_END_05-3,0,0,-137,0,-137,2126,-145,2126,-145,5094,-153,5094,-153,8062,-161,8062,-161,9507,2161,9507,2161,9000,2000,9000
NN4_BEG_06-SS4_END_06-3,0,0,-138,0,-138,2126,-146,2126,-146,5094,-154,5094,-154,8062,-162,8062,-162,9512,2162,9512,2162,9000,2000,9000
NN4_BEG_07-SS4_END_07-3,0,0,-139,0,-139,2126,-147,2126,-147,5094,-155,5094,-155,8062,-163,8062,-163,9517,2163,9517,2163,9000,2000,9000
SS4_BEG_00-NN4_END_00-0,0,0,132,0,132,-458,-2132,-458,-2132,874,-2140,874,-2140,3842,-2148,3842,-2148,6810,-2156,6810,-2156,9000,-2000,9000
SS4_BEG_01-NN4_END_01-0,0,0,133,0,133,-463,-2133,-463,-2133,866,-2141,866,-2141,3834,-2149,3834,-2149,6802,-2157,6802,-2157,9000,-2000,9000
SS4_BEG_02-NN4_END_02-0,0,0,134,0,134,-468,-2134,-468,-2134,858,-2142,858,-2142,3826,-2150,3826,-2150,6794,-2158,6794,-2158,9000,-2000,9000
SS4_BEG_03-NN4_END_03-0,0,0,135,0,135,-473,-2135,-473,-2135,850,-2143,850,-2143,3818,-2151,3818,-2151,6786,-2159,6786,-2159,9000,-2000,9000
SS4_BEG_04-NN4_END_04-0,0,0,136,0,136,-478,-2136,-478,-2136,842,-2144,842,-2144,3810,-2152,3810,-2152,6778,-2160,6778,-2160,9000,-2000,9000
SS4_BEG_05-NN4_END_05-0,0,0,137,0,137,-483,-2137,-483,-2137,834,-2145,834,-2145,3802,-2153,3802,-2153,6770,-2161,6770,-2161,9000,-2000,9000
SS4_BEG_06-NN4_END_06-0,0,0,138,0,138,-488,-2138,-488,-2138,826,-2146,826,-2146,3794,-2154,3794,-2154,6762,-2162,6762,-2162,9000,-2000,9000
SS4_BEG_07-NN4_END_07-0,0,0,139,0,139,-493,-2139,-493,-2139,818,-2147,818,-2147,3786,-2155,3786,-2155,6754,-2163,6754,-2163,9000,-2000,9000
SS4_BEG_00-NN4_END_00-1,0,0,132,0,132,-2126,140,-2126,140,-3466,-2140,-3466,-2140,-2158,-2148,-2158,-2148,810,-2156,810,-2156,3000,-2000,3000
SS4_BEG_01-NN4_END_01-1,0,0,133,0,133,-2126,141,-2126,141,-3471,-2141,-3471,-2141,-2166,-2149,-2166,-2149,802,-2157,802,-2157,3000,-2000,3000
SS4_BEG_02-NN4_END_02-1,0,0,134,0,134,-2126,142,-2126,142,-3476,-2142,-3476,-2142,-2174,-2150,-2174,-2150,794,-2158,794,-2158,3000,-2000,3000
