block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3
EE1_BEG_00-EE1_END_00-L,0,0,0,-100,1044,-100,1044,0
EE1_BEG_01-EE1_END_01-L,0,0,0,-101,1052,-101,1052,0
EE1_BEG_02-EE1_END_02-L,0,0,0,-102,1060,-102,1060,0
EE1_BEG_03-EE1_END_03-L,0,0,0,-103,1068,-103,1068,0
EE1_BEG_04-EE1_END_04-L,0,0,0,-104,1076,-104,1076,0
EE1_BEG_05-EE1_END_05-L,0,0,0,-105,1084,-105,1084,0
EE1_BEG_06-EE1_END_06-L,0,0,0,-106,1092,-106,1092,0
EE1_BEG_07-EE1_END_07-L,0,0,0,-107,1100,-107,1100,0
EE1_BEG_08-EE1_END_08-L,0,0,0,-108,1108,-108,1108,0
EE1_BEG_09-EE1_END_09-L,0,0,0,-109,1116,-109,1116,0
EE1_BEG_10-EE1_END_10-L,0,0,0,-110,1124,-110,1124,0
EE1_BEG_11-EE1_END_11-L,0,0,0,-111,1132,-111,1132,0
EE1_BEG_12-EE1_END_12-L,0,0,0,-112,1140,-112,1140,0
EE1_BEG_13-EE1_END_13-L,0,0,0,-113,1148,-113,1148,0
EE1_BEG_14-EE1_END_14-L,0,0,0,-114,1156,-114,1156,0
EE1_BEG_15-EE1_END_15-L,0,0,0,-115,1164,-115,1164,0
EE1_BEG_00-EE1_END_00-R,0,0,0,-100,7044,-100,7044,0
EE1_BEG_01-EE1_END_01-R,0,0,0,-101,7052,-101,7052,0
EE1_BEG_02-EE1_END_02-R,0,0,0,-102,7060,-102,7060,0
EE1_BEG_03-EE1_END_03-R,0,0,0,-103,7068,-103,7068,0
EE1_BEG_04-EE1_END_04-R,0,0,0,-104,7076,-104,7076,0
EE1_BEG_05-EE1_END_05-R,0,0,0,-105,7084,-105,7084,0
EE1_BEG_06-EE1_END_06-R,0,0,0,-106,7092,-106,7092,0
EE1_BEG_07-EE1_END_07-R,0,0,0,-107,7100,-107,7100,0
EE1_BEG_08-EE1_END_08-R,0,0,0,-108,7108,-108,7108,0
EE1_BEG_09-EE1_END_09-R,0,0,0,-109,7116,-109,7116,0
EE1_BEG_10-EE1_END_10-R,0,0,0,-110,7124,-110,7124,0
EE1_BEG_11-EE1_END_11-R,0,0,0,-111,7132,-111,7132,0
EE1_BEG_12-EE1_END_12-R,0,0,0,-112,7140,-112,7140,0
EE1_BEG_13-EE1_END_13-R,0,0,0,-113,7148,-113,7148,0
EE1_BEG_14-EE1_END_14-R,0,0,0,-114,7156,-114,7156,0
EE1_BEG_15-EE1_END_15-R,0,0,0,-115,7164,-115,7164,0
WW1_BEG_00-WW1_END_00-L,0,0,0,100,-7044,100,-7044,0
WW1_BEG_01-WW1_END_01-L,0,0,0,101,-7052,101,-7052,0
WW1_BEG_02-WW1_END_02-L,0,0,0,102,-7060,102,-7060,0
WW1_BEG_03-WW1_END_03-L,0,0,0,103,-7068,103,-7068,0
WW1_BEG_04-WW1_END_04-L,0,0,0,104,-7076,104,-7076,0
WW1_BEG_05-WW1_END_05-L,0,0,0,105,-7084,105,-7084,0
WW1_BEG_06-WW1_END_06-L,0,0,0,106,-7092,106,-7092,0
WW1_BEG_07-WW1_END_07-L,0,0,0,107,-7100,107,-7100,0
WW1_BEG_08-WW1_END_08-L,0,0,0,108,-7108,108,-7108,0
WW1_BEG_09-WW1_END_09-L,0,0,0,109,-7116,109,-7116,0
WW1_BEG_10-WW1_END_10-L,0,0,0,110,-7124,110,-7124,0
WW1_BEG_11-WW1_END_11-L,0,0,0,111,-7132,111,-7132,0
WW1_BEG_12-WW1_END_12-L,0,0,0,112,-7140,112,-7140,0
WW1_BEG_13-WW1_END_13-L,0,0,0,113,-7148,113,-7148,0
WW1_BEG_14-WW1_END_14-L,0,0,0,114,-7156,114,-7156,0
WW1_BEG_15-WW1_END_15-L,0,0,0,115,-7164,115,-7164,0
WW1_BEG_00-WW1_END_00-R,0,0,0,100,-1044,100,-1044,0
WW1_BEG_01-WW1_END_01-R,0,0,0,101,-1052,101,-1052,0
WW1_BEG_02-WW1_END_02-R,0,0,0,102,-1060,102,-1060,0
WW1_BEG_03-WW1_END_03-R,0,0,0,103,-1068,103,-1068,0
WW1_BEG_04-WW1_END_04-R,0,0,0,104,-1076,104,-1076,0
WW1_BEG_05-WW1_END_05-R,0,0,0,105,-1084,105,-1084,0
WW1_BEG_06-WW1_END_06-R,0,0,0,106,-1092,106,-1092,0
WW1_BEG_07-WW1_END_07-R,0,0,0,107,-1100,107,-1100,0
WW1_BEG_08-WW1_END_08-R,0,0,0,108,-1108,108,-1108,0
WW1_BEG_09-WW1_END_09-R,0,0,0,109,-1116,109,-1116,0
WW1_BEG_10-WW1_END_10-R,0,0,0,110,-1124,110,-1124,0
WW1_BEG_11-WW1_END_11-R,0,0,0,111,-1132,111,-1132,0
WW1_BEG_12-WW1_END_12-R,0,0,0,112,-1140,112,-1140,0
WW1_BEG_13-WW1_END_13-R,0,0,0,113,-1148,113,-1148,0
WW1_BEG_14-WW1_END_14-R,0,0,0,114,-1156,114,-1156,0
WW1_BEG_15-WW1_END_15-R,0,0,0,115,-1164,115,-1164,0
NN1_BEG_00-NN1_END_00,0,0,-100,0,-100,1044,0,1044
NN1_BEG_01-NN1_END_01,0,0,-101,0,-101,1052,0,1052
NN1_BEG_02-NN1_END_02,0,0,-102,0,-102,1060,0,1060
NN1_BEG_03-NN1_END_03,0,0,-103,0,-103,1068,0,1068
NN1_BEG_04-NN1_END_04,0,0,-104,0,-104,1076,0,1076
NN1_BEG_05-NN1_END_05,0,0,-105,0,-105,1084,0,1084
NN1_BEG_06-NN1_END_06,0,0,-106,0,-106,1092,0,1092
NN1_BEG_07-NN1_END_07,0,0,-107,0,-107,1100,0,1100
NN1_BEG_08-NN1_END_08,0,0,-108,0,-108,1108,0,1108
NN1_BEG_09-NN1_END_09,0,0,-109,0,-109,1116,0,1116
NN1_BEG_10-NN1_END_10,0,0,-110,0,-110,1124,0,1124
NN1_BEG_11-NN1_END_11,0,0,-111,0,-111,1132,0,1132
NN1_BEG_12-NN1_END_12,0,0,-112,0,-112,1140,0,1140
NN1_BEG_13-NN1_END_13,0,0,-113,0,-113,1148,0,1148
NN1_BEG_14-NN1_END_14,0,0,-114,0,-114,1156,0,1156
NN1_BEG_15-NN1_END_15,0,0,-115,0,-115,1164,0,1164
SS1_BEG_00-SS1_END_00,0,0,100,0,100,-1044,0,-1044
