block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5
EE2_BEG_00-EE2_END_00-L,0,0,0,-116,2090,-116,2090,-124,10180,-124,10180,0
EE2_BEG_01-EE2_END_01-L,0,0,0,-117,2090,-117,2090,-125,10188,-125,10188,0
EE2_BEG_02-EE2_END_02-L,0,0,0,-118,2090,-118,2090,-126,10196,-126,10196,0
EE2_BEG_03-EE2_END_03-L,0,0,0,-119,2090,-119,2090,-127,10204,-127,10204,0
EE2_BEG_04-EE2_END_04-L,0,0,0,-120,2090,-120,2090,-128,10212,-128,10212,0
EE2_BEG_05-EE2_END_05-L,0,0,0,-121,2090,-121,2090,-129,10220,-129,10220,0
EE2_BEG_06-EE2_END_06-L,0,0,0,-122,2090,-122,2090,-130,10228,-130,10228,0
EE2_BEG_07-EE2_END_07-L,0,0,0,-123,2090,-123,2090,-131,10236,-131,10236,0
EE2_BEG_00-EE2_END_00-R,0,0,0,-116,8090,-116,8090,-124,10180,-124,10180,0
EE2_BEG_01-EE2_END_01-R,0,0,0,-117,8090,-117,8090,-125,10188,-125,10188,0
EE2_BEG_02-EE2_END_02-R,0,0,0,-118,8090,-118,8090,-126,10196,-126,10196,0
EE2_BEG_03-EE2_END_03-R,0,0,0,-119,8090,-119,8090,-127,10204,-127,10204,0
EE2_BEG_04-EE2_END_04-R,0,0,0,-120,8090,-120,8090,-128,10212,-128,10212,0
EE2_BEG_05-EE2_END_05-R,0,0,0,-121,8090,-121,8090,-129,10220,-129,10220,0
EE2_BEG_06-EE2_END_06-R,0,0,0,-122,8090,-122,8090,-130,10228,-130,10228,0
EE2_BEG_07-EE2_END_07-R,0,0,0,-123,8090,-123,8090,-131,10236,-131,10236,0
WW2_BEG_00-WW2_END_00-L,0,0,0,116,-8090,116,-8090,124,-10180,124,-10180,0
WW2_BEG_01-WW2_END_01-L,0,0,0,117,-8090,117,-8090,125,-10188,125,-10188,0
WW2_BEG_02-WW2_END_02-L,0,0,0,118,-8090,118,-8090,126,-10196,126,-10196,0
WW2_BEG_03-WW2_END_03-L,0,0,0,119,-8090,119,-8090,127,-10204,127,-10204,0
WW2_BEG_04-WW2_END_04-L,0,0,0,120,-8090,120,-8090,128,-10212,128,-10212,0
WW2_BEG_05-WW2_END_05-L,0,0,0,121,-8090,121,-8090,129,-10220,129,-10220,0
WW2_BEG_06-WW2_END_06-L,0,0,0,122,-8090,122,-8090,130,-10228,130,-10228,0
WW2_BEG_07-WW2_END_07-L,0,0,0,123,-8090,123,-8090,131,-10236,131,-10236,0
WW2_BEG_00-WW2_END_00-R,0,0,0,116,-2090,116,-2090,124,-10180,124,-10180,0
WW2_BEG_01-WW2_END_01-R,0,0,0,117,-2090,117,-2090,125,-10188,125,-10188,0
WW2_BEG_02-WW2_END_02-R,0,0,0,118,-2090,118,-2090,126,-10196,126,-10196,0
WW2_BEG_03-WW2_END_03-R,0,0,0,119,-2090,119,-2090,127,-10204,127,-10204,0
WW2_BEG_04-WW2_END_04-R,0,0,0,120,-2090,120,-2090,128,-10212,128,-10212,0
WW2_BEG_05-WW2_END_05-R,0,0,0,121,-2090,121,-2090,129,-10220,129,-10220,0
WW2_BEG_06-WW2_END_06-R,0,0,0,122,-2090,122,-2090,130,-10228,130,-10228,0
WW2_BEG_07-WW2_END_07-R,0,0,0,123,-2090,123,-2090,131,-10236,131,-10236,0
NN2_BEG_00-NN2_END_00,0,0,-116,0,-116,2090,-124,2090,-124,4180,0,4180
NN2_BEG_01-NN2_END_01,0,0,-117,0,-117,2090,-125,2090,-125,4188,0,4188
NN2_BEG_02-NN2_END_02,0,0,-118,0,-118,2090,-126,2090,-126,4196,0,4196
NN2_BEG_03-NN2_END_03,0,0,-119,0,-119,2090,-127,2090,-127,4204,0,4204
NN2_BEG_04-NN2_END_04,0,0,-120,0,-120,2090,-128,2090,-128,4212,0,4212
NN2_BEG_05-NN2_END_05,0,0,-121,0,-121,2090,-129,2090,-129,4220,0,4220
NN2_BEG_06-NN2_END_06,0,0,-122,0,-122,2090,-130,2090,-130,4228,0,4228
NN2_BEG_07-NN2_END_07,0,0,-123,0,-123,2090,-131,2090,-131,4236,0,4236
SS2_BEG_00-SS2_END_00,0,0,116,0,116,-2090,124,-2090,124,-4180,0,-4180
SS2_BEG_01-SS2_END_01,0,0,117,0,117,-2090,125,-2090,125,-4188,0,-4188
SS2_BEG_02-SS2_END_02,0,0,118,0,118,-2090,126,-2090,126,-4196,0,-4196
SS2_BEG_03-SS2_END_03,0,0,119,0,119,-2090,127,-2090,127,-4204,0,-4204
SS2_BEG_04-SS2_END_04,0,0,120,0,120,-2090,128,-2090,128,-4212,0,-4212
SS2_BEG_05-SS2_END_05,0,0,121,0,121,-2090,129,-2090,129,-4220,0,-4220
SS2_BEG_06-SS2_END_06,0,0,122,0,122,-2090,130,-2090,130,-4228,0,-4228
SS2_BEG_07-SS2_END_07,0,0,123,0,123,-2090,131,-2090,131,-4236,0,-4236
