block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9
EE4_BEG_00-EE4_END_00-L,0,0,0,-132,2126,-132,2126,-140,11094,-140,11094,-148,14062,-148,14062,-156,22252,-156,22252,0
EE4_BEG_01-EE4_END_01-L,0,0,0,-133,2126,-133,2126,-141,11094,-141,11094,-149,14062,-149,14062,-157,22260,-157,22260,0
EE4_BEG_02-EE4_END_02-L,0,0,0,-134,2126,-134,2126,-142,11094,-142,11094,-150,14062,-150,14062,-158,22268,-158,22268,0
EE4_BEG_03-EE4_END_03-L,0,0,0,-135,2126,-135,2126,-143,11094,-143,11094,-151,14062,-151,14062,-159,22276,-159,22276,0
EE4_BEG_04-EE4_END_04-L,0,0,0,-136,2126,-136,2126,-144,11094,-144,11094,-152,14062,-152,14062,-160,22284,-160,22284,0
EE4_BEG_05-EE4_END_05-L,0,0,0,-137,2126,-137,2126,-145,11094,-145,11094,-153,14062,-153,14062,-161,22292,-161,22292,0
EE4_BEG_06-EE4_END_06-L,0,0,0,-138,2126,-138,2126,-146,11094,-146,11094,-154,14062,-154,14062,-162,22300,-162,22300,0
EE4_BEG_07-EE4_END_07-L,0,0,0,-139,2126,-139,2126,-147,11094,-147,11094,-155,14062,-155,14062,-163,22308,-163,22308,0
EE4_BEG_00-EE4_END_00-R,0,0,0,-132,8126,-132,8126,-140,11094,-140,11094,-148,20062,-148,20062,-156,22252,-156,22252,0
EE4_BEG_01-EE4_END_01-R,0,0,0,-133,8126,-133,8126,-141,11094,-141,11094,-149,20062,-149,20062,-157,22260,-157,22260,0
EE4_BEG_02-EE4_END_02-R,0,0,0,-134,8126,-134,8126,-142,11094,-142,11094,-150,20062,-150,20062,-158,22268,-158,22268,0
EE4_BEG_03-EE4_END_03-R,0,0,0,-135,8126,-135,8126,-143,11094,-143,11094,-151,20062,-151,20062,-159,22276,-159,22276,0
EE4_BEG_04-EE4_END_04-R,0,0,0,-136,8126,-136,8126,-144,11094,-144,11094,-152,20062,-152,20062,-160,22284,-160,22284,0
EE4_BEG_05-EE4_END_05-R,0,0,0,-137,8126,-137,8126,-145,11094,-145,11094,-153,20062,-153,20062,-161,22292,-161,22292,0
EE4_BEG_06-EE4_END_06-R,0,0,0,-138,8126,-138,8126,-146,11094,-146,11094,-154,20062,-154,20062,-162,22300,-162,22300,0
