block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13
EE6_BEG_00-EE6_END_00-L,0,0,0,-164,2162,-164,2162,-168,11146,-168,11146,-172,14130,-172,14130,-176,23114,-176,23114,-180,26098,-180,26098,-184,34324,-184,34324,0
EE6_BEG_01-EE6_END_01-L,0,0,0,-165,2162,-165,2162,-169,11146,-169,11146,-173,14130,-173,14130,-177,23114,-177,23114,-181,26098,-181,26098,-185,34332,-185,34332,0
EE6_BEG_02-EE6_END_02-L,0,0,0,-166,2162,-166,2162,-170,11146,-170,11146,-174,14130,-174,14130,-178,23114,-178,23114,-182,26098,-182,26098,-186,34340,-186,34340,0
EE6_BEG_03-EE6_END_03-L,0,0,0,-167,2162,-167,2162,-171,11146,-171,11146,-175,14130,-175,14130,-179,23114,-179,23114,-183,26098,-183,26098,-187,34348,-187,34348,0
EE6_BEG_00-EE6_END_00-R,0,0,0,-164,8162,-164,8162,-168,11146,-168,11146,-172,20130,-172,20130,-176,23114,-176,23114,-180,32098,-180,32098,-184,34324,-184,34324,0
EE6_BEG_01-EE6_END_01-R,0,0,0,-165,8162,-165,8162,-169,11146,-169,11146,-173,20130,-173,20130,-177,23114,-177,23114,-181,32098,-181,32098,-185,34332,-185,34332,0
EE6_BEG_02-EE6_END_02-R,0,0,0,-166,8162,-166,8162,-170,11146,-170,11146,-174,20130,-174,20130,-178,23114,-178,23114,-182,32098,-182,32098,-186,34340,-186,34340,0
EE6_BEG_03-EE6_END_03-R,0,0,0,-167,8162,-167,8162,-171,11146,-171,11146,-175,20130,-175,20130,-179,23114,-179,23114,-183,32098,-183,32098,-187,34348,-187,34348,0
WW6_BEG_00-WW6_END_00-L,0,0,0,164,-8162,164,-8162,168,-11146,168,-11146,172,-20130,172,-20130,176,-23114,176,-23114,180,-32098,180,-32098,184,-34324,184,-34324,0
WW6_BEG_01-WW6_END_01-L,0,0,0,165,-8162,165,-8162,169,-11146,169,-11146,173,-20130,173,-20130,177,-23114,177,-23114,181,-32098,181,-32098,185,-34332,185,-34332,0
WW6_BEG_02-WW6_END_02-L,0,0,0,166,-8162,166,-8162,170,-11146,170,-11146,174,-20130,174,-20130,178,-23114,178,-23114,182,-32098,182,-32098,186,-34340,186,-34340,0
WW6_BEG_03-WW6_END_03-L,0,0,0,167,-8162,167,-8162,171,-11146,171,-11146,175,-20130,175,-20130,179,-23114,179,-23114,183,-32098,183,-32098,187,-34348,187,-34348,0
WW6_BEG_00-WW6_END_00-R,0,0,0,164,-2162,164,-2162,168,-11146,168,-11146,172,-14130,172,-14130,176,-23114,176,-23114,180,-26098,180,-26098,184,-34324,184,-34324,0
WW6_BEG_01-WW6_END_01-R,0,0,0,165,-2162,165,-2162,169,-11146,169,-11146,173,-14130,173,-14130,177,-23114,177,-23114,181,-26098,181,-26098,185,-34332,185,-34332,0
WW6_BEG_02-WW6_END_02-R,0,0,0,166,-2162,166,-2162,170,-11146,170,-11146,174,-14130,174,-14130,178,-23114,178,-23114,182,-26098,182,-26098,186,-34340,186,-34340,0
WW6_BEG_03-WW6_END_03-R,0,0,0,167,-2162,167,-2162,171,-11146,171,-11146,175,-14130,175,-14130,179,-23114,179,-23114,183,-26098,183,-26098,187,-34348,187,-34348,0
NN6_BEG_00-NN6_END_00,0,0,-164,0,-164,2162,-168,2162,-168,5146,-172,5146,-172,8130,-176,8130,-176,11114,-180,11114,-180,14098,-184,14098,-184,16324,0,16324
NN6_BEG_01-NN6_END_01,0,0,-165,0,-165,2162,-169,2162,-169,5146,-173,5146,-173,8130,-177,8130,-177,11114,-181,11114,-181,14098,-185,14098,-185,16332,0,16332
NN6_BEG_02-NN6_END_02,0,0,-166,0,-166,2162,-170,2162,-170,5146,-174,5146,-174,8130,-178,8130,-178,11114,-182,11114,-182,14098,-186,14098,-186,16340,0,16340
NN6_BEG_03-NN6_END_03,0,0,-167,0,-167,2162,-171,2162,-171,5146,-175,5146,-175,8130,-179,8130,-179,11114,-183,11114,-183,14098,-187,14098,-187,16348,0,16348
SS6_BEG_00-SS6_END_00,0,0,164,0,164,-2162,168,-2162,168,-5146,172,-5146,172,-8130,176,-8130,176,-11114,180,-11114,180,-14098,184,-14098,184,-16324,0,-16324
SS6_BEG_01-SS6_END_01,0,0,165,0,165,-2162,169,-2162,169,-5146,173,-5146,173,-8130,177,-8130,177,-11114,181,-11114,181,-14098,185,-14098,185,-16332,0,-16332
SS6_BEG_02-SS6_END_02,0,0,166,0,166,-2162,170,-2162,170,-5146,174,-5146,174,-8130,178,-8130,178,-11114,182,-11114,182,-14098,186,-14098,186,-16340,0,-16340
SS6_BEG_03-SS6_END_03,0,0,167,0,167,-2162,171,-2162,171,-5146,175,-5146,175,-8130,179,-8130,179,-11114,183,-11114,183,-14098,187,-14098,187,-16348,0,-16348
