block_name,x,y
EE1_BEG_00,1978,0
EE1_BEG_01,1974,0
EE1_BEG_02,1970,0
EE1_BEG_03,1966,0
EE1_BEG_04,1962,0
EE1_BEG_05,1958,0
EE1_BEG_06,1954,0
EE1_BEG_07,1950,0
EE1_BEG_08,1946,0
EE1_BEG_09,1942,0
EE1_BEG_10,1938,0
EE1_BEG_11,1934,0
EE1_BEG_12,1930,0
EE1_BEG_13,1926,0
EE1_BEG_14,1922,0
EE1_BEG_15,1918,0
EE2_BEG_00,1910,0
EE2_BEG_01,1906,0
EE2_BEG_02,1902,0
EE2_BEG_03,1898,0
EE2_BEG_04,1894,0
EE2_BEG_05,1890,0
EE2_BEG_06,1886,0
EE2_BEG_07,1882,0
EE4_BEG_00,1874,0
EE4_BEG_01,1870,0
EE4_BEG_02,1866,0
EE4_BEG_03,1862,0
EE4_BEG_04,1858,0
EE4_BEG_05,1854,0
EE4_BEG_06,1850,0
EE4_BEG_07,1846,0
EE6_BEG_00,1838,0
EE6_BEG_01,1834,0
EE6_BEG_02,1830,0
EE6_BEG_03,1826,0
EE12_BEG_04,1818,0
EE12_BEG_05,1814,0
EE12_BEG_06,1810,0
EE12_BEG_07,1806,0
EE1_END_00,22,0
EE1_END_01,26,0
EE1_END_02,30,0
EE1_END_03,34,0
EE1_END_04,38,0
EE1_END_05,42,0
EE1_END_06,46,0
EE1_END_07,50,0
EE1_END_08,54,0
EE1_END_09,58,0
EE1_END_10,62,0
EE1_END_11,66,0
EE1_END_12,70,0
EE1_END_13,74,0
EE1_END_14,78,0
EE1_END_15,82,0
EE2_END_00,90,0
EE2_END_01,94,0
EE2_END_02,98,0
EE2_END_03,102,0
EE2_END_04,106,0
EE2_END_05,110,0
EE2_END_06,114,0
EE2_END_07,118,0
EE4_END_00,126,0
EE4_END_01,130,0
EE4_END_02,134,0
EE4_END_03,138,0
EE4_END_04,142,0
EE4_END_05,146,0
EE4_END_06,150,0
EE4_END_07,154,0
EE6_END_00,162,0
EE6_END_01,166,0
EE6_END_02,170,0
EE6_END_03,174,0
EE12_END_04,182,0
EE12_END_05,186,0
EE12_END_06,190,0
EE12_END_07,194,0
WW1_BEG_00,22,2000
WW1_BEG_01,26,2000
WW1_BEG_02,30,2000
WW1_BEG_03,34,2000
WW1_BEG_04,38,2000
WW1_BEG_05,42,2000
WW1_BEG_06,46,2000
WW1_BEG_07,50,2000
WW1_BEG_08,54,2000
WW1_BEG_09,58,2000
WW1_BEG_10,62,2000
WW1_BEG_11,66,2000
WW1_BEG_12,70,2000
WW1_BEG_13,74,2000
WW1_BEG_14,78,2000
WW1_BEG_15,82,2000
WW2_BEG_00,90,2000
WW2_BEG_01,94,2000
WW2_BEG_02,98,2000
WW2_BEG_03,102,2000
WW2_BEG_04,106,2000
WW2_BEG_05,110,2000
WW2_BEG_06,114,2000
WW2_BEG_07,118,2000
WW4_BEG_00,126,2000
WW4_BEG_01,130,2000
WW4_BEG_02,134,2000
WW4_BEG_03,138,2000
WW4_BEG_04,142,2000
WW4_BEG_05,146,2000
WW4_BEG_06,150,2000
WW4_BEG_07,154,2000
WW6_BEG_00,162,2000
WW6_BEG_01,166,2000
WW6_BEG_02,170,2000
WW6_BEG_03,174,2000
WW12_BEG_04,182,2000
WW12_BEG_05,186,2000
WW12_BEG_06,190,2000
WW12_BEG_07,194,2000
WW1_END_00,1978,2000
WW1_END_01,1974,2000
WW1_END_02,1970,2000
WW1_END_03,1966,2000
WW1_END_04,1962,2000
WW1_END_05,1958,2000
WW1_END_06,1954,2000
WW1_END_07,1950,2000
WW1_END_08,1946,2000
WW1_END_09,1942,2000
WW1_END_10,1938,2000
WW1_END_11,1934,2000
WW1_END_12,1930,2000
WW1_END_13,1926,2000
WW1_END_14,1922,2000
WW1_END_15,1918,2000
WW2_END_00,1910,2000
WW2_END_01,1906,2000
WW2_END_02,1902,2000
WW2_END_03,1898,2000
WW2_END_04,1894,2000
WW2_END_05,1890,2000
WW2_END_06,1886,2000
WW2_END_07,1882,2000
WW4_END_00,1874,2000
WW4_END_01,1870,2000
WW4_END_02,1866,2000
WW4_END_03,1862,2000
WW4_END_04,1858,2000
WW4_END_05,1854,2000
WW4_END_06,1850,2000
WW4_END_07,1846,2000
WW6_END_00,1838,2000
WW6_END_01,1834,2000
WW6_END_02,1830,2000
WW6_END_03,1826,2000
WW12_END_04,1818,2000
WW12_END_05,1814,2000
WW12_END_06,1810,2000
WW12_END_07,1806,2000
NN1_BEG_00,0,1978
NN1_BEG_01,0,1974
NN1_BEG_02,0,1970
NN1_BEG_03,0,1966
NN1_BEG_04,0,1962
NN1_BEG_05,0,1958
NN1_BEG_06,0,1954
NN1_BEG_07,0,1950
NN1_BEG_08,0,1946
NN1_BEG_09,0,1942
NN1_BEG_10,0,1938
NN1_BEG_11,0,1934
NN1_BEG_12,0,1930
NN1_BEG_13,0,1926
NN1_BEG_14,0,1922
NN1_BEG_15,0,1918
NN2_BEG_00,0,1910
NN2_BEG_01,0,1906
NN2_BEG_02,0,1902
NN2_BEG_03,0,1898
NN2_BEG_04,0,1894
NN2_BEG_05,0,1890
NN2_BEG_06,0,1886
NN2_BEG_07,0,1882
NN4_BEG_00,0,1874
NN4_BEG_01,0,1870
NN4_BEG_02,0,1866
NN4_BEG_03,0,1862
NN4_BEG_04,0,1858
NN4_BEG_05,0,1854
NN4_BEG_06,0,1850
NN4_BEG_07,0,1846
NN6_BEG_00,0,1838
NN6_BEG_01,0,1834
NN6_BEG_02,0,1830
NN6_BEG_03,0,1826
NN12_BEG_04,0,1818
NN12_BEG_05,0,1814
NN12_BEG_06,0,1810
NN12_BEG_07,0,1806
NN1_END_00,0,22
NN1_END_01,0,26
NN1_END_02,0,30
NN1_END_03,0,34
NN1_END_04,0,38
NN1_END_05,0,42
NN1_END_06,0,46
NN1_END_07,0,50
NN1_END_08,0,54
NN1_END_09,0,58
NN1_END_10,0,62
NN1_END_11,0,66
NN1_END_12,0,70
NN1_END_13,0,74
NN1_END_14,0,78
NN1_END_15,0,82
NN2_END_00,0,90
NN2_END_01,0,94
NN2_END_02,0,98
NN2_END_03,0,102
NN2_END_04,0,106
NN2_END_05,0,110
NN2_END_06,0,114
NN2_END_07,0,118
NN4_END_00,0,126
NN4_END_01,0,130
NN4_END_02,0,134
NN4_END_03,0,138
NN4_END_04,0,142
NN4_END_05,0,146
NN4_END_06,0,150
NN4_END_07,0,154
NN6_END_00,0,162
NN6_END_01,0,166
NN6_END_02,0,170
NN6_END_03,0,174
NN12_END_04,0,182
NN12_END_05,0,186
NN12_END_06,0,190
NN12_END_07,0,194
SS1_BEG_00,2000,22
SS1_BEG_01,2000,26
SS1_BEG_02,2000,30
SS1_BEG_03,2000,34
SS1_BEG_04,2000,38
SS1_BEG_05,2000,42
SS1_BEG_06,2000,46
SS1_BEG_07,2000,50
SS1_BEG_08,2000,54
SS1_BEG_09,2000,58
SS1_BEG_10,2000,62
SS1_BEG_11,2000,66
SS1_BEG_12,2000,70
SS1_BEG_13,2000,74
SS1_BEG_14,2000,78
SS1_BEG_15,2000,82
SS2_BEG_00,2000,90
SS2_BEG_01,2000,94
SS2_BEG_02,2000,98
SS2_BEG_03,2000,102
SS2_BEG_04,2000,106
SS2_BEG_05,2000,110
SS2_BEG_06,2000,114
SS2_BEG_07,2000,118
SS4_BEG_00,2000,126
SS4_BEG_01,2000,130
SS4_BEG_02,2000,134
SS4_BEG_03,2000,138
SS4_BEG_04,2000,142
SS4_BEG_05,2000,146
SS4_BEG_06,2000,150
SS4_BEG_07,2000,154
SS6_BEG_00,2000,162
SS6_BEG_01,2000,166
SS6_BEG_02,2000,170
SS6_BEG_03,2000,174
SS12_BEG_04,2000,182
SS12_BEG_05,2000,186
SS12_BEG_06,2000,190
SS12_BEG_07,2000,194
SS1_END_00,2000,1978
SS1_END_01,2000,1974
SS1_END_02,2000,1970
SS1_END_03,2000,1966
SS1_END_04,2000,1962
SS1_END_05,2000,1958
SS1_END_06,2000,1954
SS1_END_07,2000,1950
SS1_END_08,2000,1946
SS1_END_09,2000,1942
SS1_END_10,2000,1938
SS1_END_11,2000,1934
SS1_END_12,2000,1930
SS1_END_13,2000,1926
SS1_END_14,2000,1922
SS1_END_15,2000,1918
SS2_END_00,2000,1910
SS2_END_01,2000,1906
SS2_END_02,2000,1902
SS2_END_03,2000,1898
SS2_END_04,2000,1894
SS2_END_05,2000,1890
SS2_END_06,2000,1886
SS2_END_07,2000,1882
SS4_END_00,2000,1874
SS4_END_01,2000,1870
SS4_END_02,2000,1866
SS4_END_03,2000,1862
SS4_END_04,2000,1858
SS4_END_05,2000,1854
SS4_END_06,2000,1850
SS4_END_07,2000,1846
SS6_END_00,2000,1838
SS6_END_01,2000,1834
SS6_END_02,2000,1830
SS6_END_03,2000,1826
SS12_END_04,2000,1818
SS12_END_05,2000,1814
SS12_END_06,2000,1810
SS12_END_07,2000,1806
CLB_GlbCtrlInp[0],302,2000
CLB_GlbCtrlInp[1],306,2000
CLB_GlbCtrlInp[2],310,2000
CLB_GlbCtrlInp[3],314,2000
CLB_GlbCtrlInp[4],318,2000
CLB_GlbCtrlInp[5],322,2000
CLB_GlbCtrlInp[6],326,2000
CLB_GlbCtrlInp[7],330,2000
CLB_GlbCtrlInp[8],334,2000
CLB_GlbCtrlInp[9],338,2000
CLB_GlbCtrlInp[10],342,2000
CLB_GlbCtrlInp[11],346,2000
PRE_INP_FIN_00,1202,2000
PRE_INP_FIN_01,1206,2000
PRE_INP_FIN_02,1210,2000
PRE_INP_FIN_03,1214,2000
POST_INP_FIN_12,1222,2000
POST_INP_FIN_13,1226,2000
POST_INP_FIN_14,1230,2000
POST_INP_FIN_15,1234,2000
PRE_INP_FIN_16,1242,2000
PRE_INP_FIN_17,1246,2000
PRE_INP_FIN_18,1250,2000
PRE_INP_FIN_19,1254,2000
POST_INP_FIN_28,1262,2000
POST_INP_FIN_29,1266,2000
POST_INP_FIN_30,1270,2000
POST_INP_FIN_31,1274,2000
PRE_INP_FIN_32,1282,2000
PRE_INP_FIN_33,1286,2000
PRE_INP_FIN_34,1290,2000
PRE_INP_FIN_35,1294,2000
POST_INP_FIN_44,1302,2000
POST_INP_FIN_45,1306,2000
POST_INP_FIN_46,1310,2000
POST_INP_FIN_47,1314,2000
PRE_INP_FIN_48,1322,2000
PRE_INP_FIN_49,1326,2000
PRE_INP_FIN_50,1330,2000
PRE_INP_FIN_51,1334,2000
POST_INP_FIN_60,1342,2000
POST_INP_FIN_61,1346,2000
POST_INP_FIN_62,1350,2000
POST_INP_FIN_63,1354,2000
PRE_SWH_LONG_00,1378,2000
PRE_SWH_LONG_01,1382,2000
PRE_SWH_LONG_02,1386,2000
PRE_SWH_LONG_03,1390,2000
POST_SWH_LONG_28,1398,2000
POST_SWH_LONG_29,1402,2000
POST_SWH_LONG_30,1406,2000
POST_SWH_LONG_31,1410,2000
PRE_SWH_MID_00,1434,2000
PRE_SWH_MID_01,1438,2000
PRE_SWH_MID_02,1442,2000
PRE_SWH_MID_03,1446,2000
POST_SWH_MID_28,1454,2000
POST_SWH_MID_29,1458,2000
POST_SWH_MID_30,1462,2000
POST_SWH_MID_31,1466,2000
PRE_SWH_SHORT_00,1490,2000
PRE_SWH_SHORT_01,1494,2000
PRE_SWH_SHORT_02,1498,2000
PRE_SWH_SHORT_03,1502,2000
POST_SWH_SHORT_28,1510,2000
POST_SWH_SHORT_29,1514,2000
POST_SWH_SHORT_30,1518,2000
POST_SWH_SHORT_31,1522,2000
PRE_SWH_SHORT_32,1530,2000
PRE_SWH_SHORT_33,1534,2000
PRE_SWH_SHORT_34,1538,2000
PRE_SWH_SHORT_35,1542,2000
POST_SWH_SHORT_60,1550,2000
POST_SWH_SHORT_61,1554,2000
POST_SWH_SHORT_62,1558,2000
POST_SWH_SHORT_63,1562,2000
INP_FIN_00,302,0
INP_FIN_01,306,0
INP_FIN_02,310,0
INP_FIN_03,314,0
INP_FIN_04,322,0
INP_FIN_05,326,0
INP_FIN_06,330,0
INP_FIN_07,334,0
INP_FIN_08,338,0
INP_FIN_09,342,0
INP_FIN_10,346,0
INP_FIN_11,350,0
INP_FIN_12,358,0
INP_FIN_13,362,0
INP_FIN_14,366,0
INP_FIN_15,370,0
INP_FIN_16,374,0
INP_FIN_17,378,0
INP_FIN_18,382,0
INP_FIN_19,386,0
INP_FIN_20,394,0
INP_FIN_21,398,0
INP_FIN_22,402,0
INP_FIN_23,406,0
INP_FIN_24,410,0
INP_FIN_25,414,0
