block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20,x_21,y_21,x_22,y_22,x_23,y_23,x_24,y_24,x_25,y_25,x_26,y_26,x_27,y_27
ee12_beg[0]-ww12_end[0]-0,0,0,0,-188,570,-188,570,2188,-818,2188,-818,2192,-3802,2192,-3802,2196,-12786,2196,-12786,2200,-15770,2200,-15770,2204,-24754,2204,-24754,2208,-27738,2208,-27738,2212,-36722,2212,-36722,2216,-39706,2216,-39706,2220,-48690,2220,-48690,2224,-51674,2224,-51674,2228,-60658,2228,-60658,2232,-63000,2232,-63000,2000
ee12_beg[1]-ww12_end[1]-0,0,0,0,-189,575,-189,575,2189,-810,2189,-810,2193,-3794,2193,-3794,2197,-12778,2197,-12778,2201,-15762,2201,-15762,2205,-24746,2205,-24746,2209,-27730,2209,-27730,2213,-36714,2213,-36714,2217,-39698,2217,-39698,2221,-48682,2221,-48682,2225,-51666,2225,-51666,2229,-60650,2229,-60650,2233,-63000,2233,-63000,2000
ee12_beg[2]-ww12_end[2]-0,0,0,0,-190,580,-190,580,2190,-802,2190,-802,2194,-3786,2194,-3786,2198,-12770,2198,-12770,2202,-15754,2202,-15754,2206,-24738,2206,-24738,2210,-27722,2210,-27722,2214,-36706,2214,-36706,2218,-39690,2218,-39690,2222,-48674,2222,-48674,2226,-51658,2226,-51658,2230,-60642,2230,-60642,2234,-63000,2234,-63000,2000
ee12_beg[3]-ww12_end[3]-0,0,0,0,-191,585,-191,585,2191,-794,2191,-794,2195,-3778,2195,-3778,2199,-12762,2199,-12762,2203,-15746,2203,-15746,2207,-24730,2207,-24730,2211,-27714,2211,-27714,2215,-36698,2215,-36698,2219,-39682,2219,-39682,2223,-48666,2223,-48666,2227,-51650,2227,-51650,2231,-60634,2231,-60634,2235,-63000,2235,-63000,2000
ee12_beg[0]-ww12_end[0]-1,0,0,0,-188,2182,-188,2182,-192,3574,-192,3574,2192,2198,2192,2198,2196,-786,2196,-786,2200,-9770,2200,-9770,2204,-12754,2204,-12754,2208,-21738,2208,-21738,2212,-24722,2212,-24722,2216,-33706,2216,-33706,2220,-36690,2220,-36690,2224,-45674,2224,-45674,2228,-48658,2228,-48658,2232,-57000,2232,-57000,2000
ee12_beg[1]-ww12_end[1]-1,0,0,0,-189,2182,-189,2182,-193,3579,-193,3579,2193,2206,2193,2206,2197,-778,2197,-778,2201,-9762,2201,-9762,2205,-12746,2205,-12746,2209,-21730,2209,-21730,2213,-24714,2213,-24714,2217,-33698,2217,-33698,2221,-36682,2221,-36682,2225,-45666,2225,-45666,2229,-48650,2229,-48650,2233,-57000,2233,-57000,2000
ee12_beg[2]-ww12_end[2]-1,0,0,0,-190,2182,-190,2182,-194,3584,-194,3584,2194,2214,2194,2214,2198,-770,2198,-770,2202,-9754,2202,-9754,2206,-12738,2206,-12738,2210,-21722,2210,-21722,2214,-24706,2214,-24706,2218,-33690,2218,-33690,2222,-36674,2222,-36674,2226,-45658,2226,-45658,2230,-48642,2230,-48642,2234,-57000,2234,-57000,2000
ee12_beg[3]-ww12_end[3]-1,0,0,0,-191,2182,-191,2182,-195,3589,-195,3589,2195,2222,2195,2222,2199,-762,2199,-762,2203,-9746,2203,-9746,2207,-12730,2207,-12730,2211,-21714,2211,-21714,2215,-24698,2215,-24698,2219,-33682,2219,-33682,2223,-36666,2223,-36666,2227,-45650,2227,-45650,2231,-48634,2231,-48634,2235,-57000,2235,-57000,2000
ee12_beg[0]-ww12_end[0]-2,0,0,0,-188,8182,-188,8182,-192,11166,-192,11166,-196,12578,-196,12578,2196,11214,2196,11214,2200,8230,2200,8230,2204,-754,2204,-754,2208,-3738,2208,-3738,2212,-12722,2212,-12722,2216,-15706,2216,-15706,2220,-24690,2220,-24690,2224,-27674,2224,-27674,2228,-36658,2228,-36658,2232,-39000,2232,-39000,2000
ee12_beg[1]-ww12_end[1]-2,0,0,0,-189,8182,-189,8182,-193,11166,-193,11166,-197,12583,-197,12583,2197,11222,2197,11222,2201,8238,2201,8238,2205,-746,2205,-746,2209,-3730,2209,-3730,2213,-12714,2213,-12714,2217,-15698,2217,-15698,2221,-24682,2221,-24682,2225,-27666,2225,-27666,2229,-36650,2229,-36650,2233,-39000,2233,-39000,2000
