block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7
ee2_beg[0]-ww2_end[0]-0,0,0,0,-116,406,-116,406,2116,-910,2116,-910,2124,-3000,2124,-3000,2000
ee2_beg[1]-ww2_end[1]-0,0,0,0,-117,411,-117,411,2117,-902,2117,-902,2125,-3000,2125,-3000,2000
ee2_beg[2]-ww2_end[2]-0,0,0,0,-118,416,-118,416,2118,-894,2118,-894,2126,-3000,2126,-3000,2000
ee2_beg[3]-ww2_end[3]-0,0,0,0,-119,421,-119,421,2119,-886,2119,-886,2127,-3000,2127,-3000,2000
ee2_beg[4]-ww2_end[4]-0,0,0,0,-120,426,-120,426,2120,-878,2120,-878,2128,-3000,2128,-3000,2000
ee2_beg[5]-ww2_end[5]-0,0,0,0,-121,431,-121,431,2121,-870,2121,-870,2129,-3000,2129,-3000,2000
ee2_beg[6]-ww2_end[6]-0,0,0,0,-122,436,-122,436,2122,-862,2122,-862,2130,-3000,2130,-3000,2000
ee2_beg[7]-ww2_end[7]-0,0,0,0,-123,441,-123,441,2123,-854,2123,-854,2131,-3000,2131,-3000,2000
ee2_beg[0]-ww2_end[0]-1,0,0,0,-116,2090,-116,2090,-124,3414,-124,3414,2124,3000,2124,3000,2000
ee2_beg[1]-ww2_end[1]-1,0,0,0,-117,2090,-117,2090,-125,3419,-125,3419,2125,3000,2125,3000,2000
ee2_beg[2]-ww2_end[2]-1,0,0,0,-118,2090,-118,2090,-126,3424,-126,3424,2126,3000,2126,3000,2000
ee2_beg[3]-ww2_end[3]-1,0,0,0,-119,2090,-119,2090,-127,3429,-127,3429,2127,3000,2127,3000,2000
ee2_beg[4]-ww2_end[4]-1,0,0,0,-120,2090,-120,2090,-128,3434,-128,3434,2128,3000,2128,3000,2000
ee2_beg[5]-ww2_end[5]-1,0,0,0,-121,2090,-121,2090,-129,3439,-129,3439,2129,3000,2129,3000,2000
ee2_beg[6]-ww2_end[6]-1,0,0,0,-122,2090,-122,2090,-130,3444,-130,3444,2130,3000,2130,3000,2000
ee2_beg[7]-ww2_end[7]-1,0,0,0,-123,2090,-123,2090,-131,3449,-131,3449,2131,3000,2131,3000,2000
ww2_beg[0]-ee2_end[0]-0,0,0,0,116,-406,116,-406,-2116,910,-2116,910,-2124,3000,-2124,3000,-2000
ww2_beg[1]-ee2_end[1]-0,0,0,0,117,-411,117,-411,-2117,902,-2117,902,-2125,3000,-2125,3000,-2000
ww2_beg[2]-ee2_end[2]-0,0,0,0,118,-416,118,-416,-2118,894,-2118,894,-2126,3000,-2126,3000,-2000
ww2_beg[3]-ee2_end[3]-0,0,0,0,119,-421,119,-421,-2119,886,-2119,886,-2127,3000,-2127,3000,-2000
ww2_beg[4]-ee2_end[4]-0,0,0,0,120,-426,120,-426,-2120,878,-2120,878,-2128,3000,-2128,3000,-2000
ww2_beg[5]-ee2_end[5]-0,0,0,0,121,-431,121,-431,-2121,870,-2121,870,-2129,3000,-2129,3000,-2000
ww2_beg[6]-ee2_end[6]-0,0,0,0,122,-436,122,-436,-2122,862,-2122,862,-2130,3000,-2130,3000,-2000
ww2_beg[7]-ee2_end[7]-0,0,0,0,123,-441,123,-441,-2123,854,-2123,854,-2131,3000,-2131,3000,-2000
ww2_beg[0]-ee2_end[0]-1,0,0,0,116,-2090,116,-2090,124,-3414,124,-3414,-2124,-3000,-2124,-3000,-2000
ww2_beg[1]-ee2_end[1]-1,0,0,0,117,-2090,117,-2090,125,-3419,125,-3419,-2125,-3000,-2125,-3000,-2000
ww2_beg[2]-ee2_end[2]-1,0,0,0,118,-2090,118,-2090,126,-3424,126,-3424,-2126,-3000,-2126,-3000,-2000
ww2_beg[3]-ee2_end[3]-1,0,0,0,119,-2090,119,-2090,127,-3429,127,-3429,-2127,-3000,-2127,-3000,-2000
ww2_beg[4]-ee2_end[4]-1,0,0,0,120,-2090,120,-2090,128,-3434,128,-3434,-2128,-3000,-2128,-3000,-2000
ww2_beg[5]-ee2_end[5]-1,0,0,0,121,-2090,121,-2090,129,-3439,129,-3439,-2129,-3000,-2129,-3000,-2000
ww2_beg[6]-ee2_end[6]-1,0,0,0,122,-2090,122,-2090,130,-3444,130,-3444,-2130,-3000,-2130,-3000,-2000
ww2_beg[7]-ee2_end[7]-1,0,0,0,123,-2090,123,-2090,131,-3449,131,-3449,-2131,-3000,-2131,-3000,-2000
