block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11
ee4_beg[0]-ww4_end[0]-0,0,0,0,-132,458,-132,458,2132,-874,2132,-874,2140,-3842,2140,-3842,2148,-12810,2148,-12810,2156,-15000,2156,-15000,2000
ee4_beg[1]-ww4_end[1]-0,0,0,0,-133,463,-133,463,2133,-866,2133,-866,2141,-3834,2141,-3834,2149,-12802,2149,-12802,2157,-15000,2157,-15000,2000
ee4_beg[2]-ww4_end[2]-0,0,0,0,-134,468,-134,468,2134,-858,2134,-858,2142,-3826,2142,-3826,2150,-12794,2150,-12794,2158,-15000,2158,-15000,2000
ee4_beg[3]-ww4_end[3]-0,0,0,0,-135,473,-135,473,2135,-850,2135,-850,2143,-3818,2143,-3818,2151,-12786,2151,-12786,2159,-15000,2159,-15000,2000
ee4_beg[4]-ww4_end[4]-0,0,0,0,-136,478,-136,478,2136,-842,2136,-842,2144,-3810,2144,-3810,2152,-12778,2152,-12778,2160,-15000,2160,-15000,2000
ee4_beg[5]-ww4_end[5]-0,0,0,0,-137,483,-137,483,2137,-834,2137,-834,2145,-3802,2145,-3802,2153,-12770,2153,-12770,2161,-15000,2161,-15000,2000
ee4_beg[6]-ww4_end[6]-0,0,0,0,-138,488,-138,488,2138,-826,2138,-826,2146,-3794,2146,-3794,2154,-12762,2154,-12762,2162,-15000,2162,-15000,2000
ee4_beg[7]-ww4_end[7]-0,0,0,0,-139,493,-139,493,2139,-818,2139,-818,2147,-3786,2147,-3786,2155,-12754,2155,-12754,2163,-15000,2163,-15000,2000
ee4_beg[0]-ww4_end[0]-1,0,0,0,-132,2126,-132,2126,-140,3466,-140,3466,2140,2158,2140,2158,2148,-810,2148,-810,2156,-9000,2156,-9000,2000
ee4_beg[1]-ww4_end[1]-1,0,0,0,-133,2126,-133,2126,-141,3471,-141,3471,2141,2166,2141,2166,2149,-802,2149,-802,2157,-9000,2157,-9000,2000
ee4_beg[2]-ww4_end[2]-1,0,0,0,-134,2126,-134,2126,-142,3476,-142,3476,2142,2174,2142,2174,2150,-794,2150,-794,2158,-9000,2158,-9000,2000
ee4_beg[3]-ww4_end[3]-1,0,0,0,-135,2126,-135,2126,-143,3481,-143,3481,2143,2182,2143,2182,2151,-786,2151,-786,2159,-9000,2159,-9000,2000
ee4_beg[4]-ww4_end[4]-1,0,0,0,-136,2126,-136,2126,-144,3486,-144,3486,2144,2190,2144,2190,2152,-778,2152,-778,2160,-9000,2160,-9000,2000
ee4_beg[5]-ww4_end[5]-1,0,0,0,-137,2126,-137,2126,-145,3491,-145,3491,2145,2198,2145,2198,2153,-770,2153,-770,2161,-9000,2161,-9000,2000
ee4_beg[6]-ww4_end[6]-1,0,0,0,-138,2126,-138,2126,-146,3496,-146,3496,2146,2206,2146,2206,2154,-762,2154,-762,2162,-9000,2162,-9000,2000
ee4_beg[7]-ww4_end[7]-1,0,0,0,-139,2126,-139,2126,-147,3501,-147,3501,2147,2214,2147,2214,2155,-754,2155,-754,2163,-9000,2163,-9000,2000
ee4_beg[0]-ww4_end[0]-2,0,0,0,-132,8126,-132,8126,-140,11094,-140,11094,-148,12474,-148,12474,2148,11190,2148,11190,2156,9000,2156,9000,2000
ee4_beg[1]-ww4_end[1]-2,0,0,0,-133,8126,-133,8126,-141,11094,-141,11094,-149,12479,-149,12479,2149,11198,2149,11198,2157,9000,2157,9000,2000
ee4_beg[2]-ww4_end[2]-2,0,0,0,-134,8126,-134,8126,-142,11094,-142,11094,-150,12484,-150,12484,2150,11206,2150,11206,2158,9000,2158,9000,2000
ee4_beg[3]-ww4_end[3]-2,0,0,0,-135,8126,-135,8126,-143,11094,-143,11094,-151,12489,-151,12489,2151,11214,2151,11214,2159,9000,2159,9000,2000
ee4_beg[4]-ww4_end[4]-2,0,0,0,-136,8126,-136,8126,-144,11094,-144,11094,-152,12494,-152,12494,2152,11222,2152,11222,2160,9000,2160,9000,2000
ee4_beg[5]-ww4_end[5]-2,0,0,0,-137,8126,-137,8126,-145,11094,-145,11094,-153,12499,-153,12499,2153,11230,2153,11230,2161,9000,2161,9000,2000
ee4_beg[6]-ww4_end[6]-2,0,0,0,-138,8126,-138,8126,-146,11094,-146,11094,-154,12504,-154,12504,2154,11238,2154,11238,2162,9000,2162,9000,2000
ee4_beg[7]-ww4_end[7]-2,0,0,0,-139,8126,-139,8126,-147,11094,-147,11094,-155,12509,-155,12509,2155,11246,2155,11246,2163,9000,2163,9000,2000
ee4_beg[0]-ww4_end[0]-3,0,0,0,-132,2126,-132,2126,-140,11094,-140,11094,-148,14062,-148,14062,-156,15482,-156,15482,2156,15000,2156,15000,2000
ee4_beg[1]-ww4_end[1]-3,0,0,0,-133,2126,-133,2126,-141,11094,-141,11094,-149,14062,-149,14062,-157,15487,-157,15487,2157,15000,2157,15000,2000
