block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15
ee6_beg[0]-ww6_end[0]-0,0,0,0,-164,526,-164,526,2164,-838,2164,-838,2168,-3822,2168,-3822,2172,-12806,2172,-12806,2176,-15790,2176,-15790,2180,-24774,2180,-24774,2184,-27000,2184,-27000,2000
ee6_beg[1]-ww6_end[1]-0,0,0,0,-165,531,-165,531,2165,-830,2165,-830,2169,-3814,2169,-3814,2173,-12798,2173,-12798,2177,-15782,2177,-15782,2181,-24766,2181,-24766,2185,-27000,2185,-27000,2000
ee6_beg[2]-ww6_end[2]-0,0,0,0,-166,536,-166,536,2166,-822,2166,-822,2170,-3806,2170,-3806,2174,-12790,2174,-12790,2178,-15774,2178,-15774,2182,-24758,2182,-24758,2186,-27000,2186,-27000,2000
ee6_beg[3]-ww6_end[3]-0,0,0,0,-167,541,-167,541,2167,-814,2167,-814,2171,-3798,2171,-3798,2175,-12782,2175,-12782,2179,-15766,2179,-15766,2183,-24750,2183,-24750,2187,-27000,2187,-27000,2000
ee6_beg[0]-ww6_end[0]-1,0,0,0,-164,2162,-164,2162,-168,3530,-168,3530,2168,2178,2168,2178,2172,-806,2172,-806,2176,-9790,2176,-9790,2180,-12774,2180,-12774,2184,-21000,2184,-21000,2000
ee6_beg[1]-ww6_end[1]-1,0,0,0,-165,2162,-165,2162,-169,3535,-169,3535,2169,2186,2169,2186,2173,-798,2173,-798,2177,-9782,2177,-9782,2181,-12766,2181,-12766,2185,-21000,2185,-21000,2000
ee6_beg[2]-ww6_end[2]-1,0,0,0,-166,2162,-166,2162,-170,3540,-170,3540,2170,2194,2170,2194,2174,-790,2174,-790,2178,-9774,2178,-9774,2182,-12758,2182,-12758,2186,-21000,2186,-21000,2000
ee6_beg[3]-ww6_end[3]-1,0,0,0,-167,2162,-167,2162,-171,3545,-171,3545,2171,2202,2171,2202,2175,-782,2175,-782,2179,-9766,2179,-9766,2183,-12750,2183,-12750,2187,-21000,2187,-21000,2000
ee6_beg[0]-ww6_end[0]-2,0,0,0,-164,8162,-164,8162,-168,11146,-168,11146,-172,12534,-172,12534,2172,11194,2172,11194,2176,8210,2176,8210,2180,-774,2180,-774,2184,-3000,2184,-3000,2000
ee6_beg[1]-ww6_end[1]-2,0,0,0,-165,8162,-165,8162,-169,11146,-169,11146,-173,12539,-173,12539,2173,11202,2173,11202,2177,8218,2177,8218,2181,-766,2181,-766,2185,-3000,2185,-3000,2000
ee6_beg[2]-ww6_end[2]-2,0,0,0,-166,8162,-166,8162,-170,11146,-170,11146,-174,12544,-174,12544,2174,11210,2174,11210,2178,8226,2178,8226,2182,-758,2182,-758,2186,-3000,2186,-3000,2000
ee6_beg[3]-ww6_end[3]-2,0,0,0,-167,8162,-167,8162,-171,11146,-171,11146,-175,12549,-175,12549,2175,11218,2175,11218,2179,8234,2179,8234,2183,-750,2183,-750,2187,-3000,2187,-3000,2000
ee6_beg[0]-ww6_end[0]-3,0,0,0,-164,2162,-164,2162,-168,11146,-168,11146,-172,14130,-172,14130,-176,15538,-176,15538,2176,14210,2176,14210,2180,11226,2180,11226,2184,3000,2184,3000,2000
ee6_beg[1]-ww6_end[1]-3,0,0,0,-165,2162,-165,2162,-169,11146,-169,11146,-173,14130,-173,14130,-177,15543,-177,15543,2177,14218,2177,14218,2181,11234,2181,11234,2185,3000,2185,3000,2000
ee6_beg[2]-ww6_end[2]-3,0,0,0,-166,2162,-166,2162,-170,11146,-170,11146,-174,14130,-174,14130,-178,15548,-178,15548,2178,14226,2178,14226,2182,11242,2182,11242,2186,3000,2186,3000,2000
ee6_beg[3]-ww6_end[3]-3,0,0,0,-167,2162,-167,2162,-171,11146,-171,11146,-175,14130,-175,14130,-179,15553,-179,15553,2179,14234,2179,14234,2183,11250,2183,11250,2187,3000,2187,3000,2000
