block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20,x_21,y_21,x_22,y_22,x_23,y_23,x_24,y_24,x_25,y_25,x_26,y_26,x_27,y_27
nn12_beg[0]-ss12_end[0]-0,0,0,-188,0,-188,570,2188,570,2188,-818,2192,-818,2192,-3802,2196,-3802,2196,-6786,2200,-6786,2200,-9770,2204,-9770,2204,-12754,2208,-12754,2208,-15738,2212,-15738,2212,-18722,2216,-18722,2216,-21706,2220,-21706,2220,-24690,2224,-24690,2224,-27674,2228,-27674,2228,-30658,2232,-30658,2232,-33000,2000,-33000
nn12_beg[1]-ss12_end[1]-0,0,0,-189,0,-189,575,2189,575,2189,-810,2193,-810,2193,-3794,2197,-3794,2197,-6778,2201,-6778,2201,-9762,2205,-9762,2205,-12746,2209,-12746,2209,-15730,2213,-15730,2213,-18714,2217,-18714,2217,-21698,2221,-21698,2221,-24682,2225,-24682,2225,-27666,2229,-27666,2229,-30650,2233,-30650,2233,-33000,2000,-33000
nn12_beg[2]-ss12_end[2]-0,0,0,-190,0,-190,580,2190,580,2190,-802,2194,-802,2194,-3786,2198,-3786,2198,-6770,2202,-6770,2202,-9754,2206,-9754,2206,-12738,2210,-12738,2210,-15722,2214,-15722,2214,-18706,2218,-18706,2218,-21690,2222,-21690,2222,-24674,2226,-24674,2226,-27658,2230,-27658,2230,-30642,2234,-30642,2234,-33000,2000,-33000
nn12_beg[3]-ss12_end[3]-0,0,0,-191,0,-191,585,2191,585,2191,-794,2195,-794,2195,-3778,2199,-3778,2199,-6762,2203,-6762,2203,-9746,2207,-9746,2207,-12730,2211,-12730,2211,-15714,2215,-15714,2215,-18698,2219,-18698,2219,-21682,2223,-21682,2223,-24666,2227,-24666,2227,-27650,2231,-27650,2231,-30634,2235,-30634,2235,-33000,2000,-33000
nn12_beg[0]-ss12_end[0]-1,0,0,-188,0,-188,2182,-192,2182,-192,3574,2192,3574,2192,2198,2196,2198,2196,-786,2200,-786,2200,-3770,2204,-3770,2204,-6754,2208,-6754,2208,-9738,2212,-9738,2212,-12722,2216,-12722,2216,-15706,2220,-15706,2220,-18690,2224,-18690,2224,-21674,2228,-21674,2228,-24658,2232,-24658,2232,-27000,2000,-27000
nn12_beg[1]-ss12_end[1]-1,0,0,-189,0,-189,2182,-193,2182,-193,3579,2193,3579,2193,2206,2197,2206,2197,-778,2201,-778,2201,-3762,2205,-3762,2205,-6746,2209,-6746,2209,-9730,2213,-9730,2213,-12714,2217,-12714,2217,-15698,2221,-15698,2221,-18682,2225,-18682,2225,-21666,2229,-21666,2229,-24650,2233,-24650,2233,-27000,2000,-27000
nn12_beg[2]-ss12_end[2]-1,0,0,-190,0,-190,2182,-194,2182,-194,3584,2194,3584,2194,2214,2198,2214,2198,-770,2202,-770,2202,-3754,2206,-3754,2206,-6738,2210,-6738,2210,-9722,2214,-9722,2214,-12706,2218,-12706,2218,-15690,2222,-15690,2222,-18674,2226,-18674,2226,-21658,2230,-21658,2230,-24642,2234,-24642,2234,-27000,2000,-27000
nn12_beg[3]-ss12_end[3]-1,0,0,-191,0,-191,2182,-195,2182,-195,3589,2195,3589,2195,2222,2199,2222,2199,-762,2203,-762,2203,-3746,2207,-3746,2207,-6730,2211,-6730,2211,-9714,2215,-9714,2215,-12698,2219,-12698,2219,-15682,2223,-15682,2223,-18666,2227,-18666,2227,-21650,2231,-21650,2231,-24634,2235,-24634,2235,-27000,2000,-27000
nn12_beg[0]-ss12_end[0]-2,0,0,-188,0,-188,2182,-192,2182,-192,5166,-196,5166,-196,6578,2196,6578,2196,5214,2200,5214,2200,2230,2204,2230,2204,-754,2208,-754,2208,-3738,2212,-3738,2212,-6722,2216,-6722,2216,-9706,2220,-9706,2220,-12690,2224,-12690,2224,-15674,2228,-15674,2228,-18658,2232,-18658,2232,-21000,2000,-21000
nn12_beg[1]-ss12_end[1]-2,0,0,-189,0,-189,2182,-193,2182,-193,5166,-197,5166,-197,6583,2197,6583,2197,5222,2201,5222,2201,2238,2205,2238,2205,-746,2209,-746,2209,-3730,2213,-3730,2213,-6714,2217,-6714,2217,-9698,2221,-9698,2221,-12682,2225,-12682,2225,-15666,2229,-15666,2229,-18650,2233,-18650,2233,-21000,2000,-21000
